Ticker:,Buy Date:,Seg:,1D inc:,1W inc:,1M inc:,1Y inc:,1W runup:,1M runup:
$CRM,        02/25/2021,        I,        -6.31%,       -11.14%,       NaN,        NaN,        -6.45%,       2.13%
$FSR,        02/25/2021,        I,        32.07%,       4.63%,       NaN,        NaN,        19.03%,       40.77%
$MRNA,        02/25/2021,        L,        4.33%,       -10.84%,       NaN,        NaN,        -12.5%,       -2.34%
$NARI,        02/25/2021,        L,        -0.24%,       -8.35%,       NaN,        NaN,        -8.89%,       -3.45%
$NSTG,        02/25/2021,        L,        -1.2%,       -13.63%,       NaN,        NaN,        -6.7%,       2.44%
$NVDA,        02/25/2021,        I,        3.06%,       -7.04%,       NaN,        NaN,        -10.26%,       -0.95%
$TWTR,        02/25/2021,        I,        3.31%,       -10.51%,       NaN,        NaN,        3.22%,       50.17%
$ABT,        02/24/2021,        L,        -0.65%,       -2.61%,       NaN,        NaN,        -3.82%,       6.68%
$ALGN,        02/24/2021,        D,        -2.99%,       -7.99%,       NaN,        NaN,        -4.38%,       6.26%
$AMD,        02/24/2021,        L,        -5.2%,       -6.99%,       NaN,        NaN,        -3.34%,       -7.64%
$APPH,        02/24/2021,        D,        -0.42%,       -14.7%,       NaN,        NaN,        3.98%,       --%
$COST,        02/24/2021,        L,        -2.0%,       -4.93%,       NaN,        NaN,        -4.84%,       -5.85%
$DKNG,        02/24/2021,        D,        -4.1%,       9.07%,       NaN,        NaN,        2.41%,       17.53%
$ENPH,        02/24/2021,        L,        -7.46%,       -10.92%,       NaN,        NaN,        -4.47%,       -10.78%
$HUBS,        02/24/2021,        D,        -4.46%,       -4.0%,       NaN,        NaN,        -0.88%,       35.0%
$IPOE,        02/24/2021,        D,        -3.55%,       -11.28%,       NaN,        NaN,        -18.72%,       -5.22%
$ISRG,        02/24/2021,        D,        -2.23%,       -4.16%,       NaN,        NaN,        -2.74%,       0.89%
$LPRO,        02/24/2021,        D,        -2.66%,       -1.05%,       NaN,        NaN,        0.72%,       10.78%
$LRCX,        02/24/2021,        D,        -8.25%,       -7.65%,       NaN,        NaN,        1.88%,       5.13%
$LULU,        02/24/2021,        L,        -2.39%,       -6.83%,       NaN,        NaN,        -5.87%,       -6.56%
$MP,        02/24/2021,        I,        --%,       --%,       NaN,        NaN,        --%,       --%
$NFLX,        02/24/2021,        D,        -1.21%,       -5.91%,       NaN,        NaN,        0.38%,       -0.61%
$NOW,        02/24/2021,        D,        -4.18%,       -6.49%,       NaN,        NaN,        -5.01%,       2.59%
$NVDA,        02/24/2021,        D,        -8.22%,       -11.69%,       NaN,        NaN,        -2.73%,       6.19%
$PRCH,        02/24/2021,        D,        -7.31%,       -7.41%,       NaN,        NaN,        -9.84%,       17.12%
$SKLZ,        02/24/2021,        D,        -8.5%,       -7.62%,       NaN,        NaN,        -13.56%,       15.13%
$STPK,        02/24/2021,        D,        -11.43%,       -22.23%,       NaN,        NaN,        -27.9%,       12.59%
$TSLA,        02/24/2021,        D,        -8.06%,       -11.97%,       NaN,        NaN,        -7.03%,       -15.76%
$TTD,        02/24/2021,        D,        -3.39%,       -10.9%,       NaN,        NaN,        -7.51%,       -0.58%
$UPWK,        02/24/2021,        I,        -3.5%,       -13.42%,       NaN,        NaN,        -5.42%,       20.94%
$UTZ,        02/24/2021,        D,        -0.08%,       -4.51%,       NaN,        NaN,        -0.62%,       10.45%
$VRT,        02/24/2021,        D,        -2.26%,       0.48%,       NaN,        NaN,        -1.65%,       2.97%
$BCO,        02/23/2021,        I,        -0.57%,       -4.14%,       NaN,        NaN,        10.12%,       13.36%
$CAG,        02/23/2021,        I,        0.77%,       -1.89%,       NaN,        NaN,        3.16%,       1.72%
$CGC,        02/23/2021,        L,        0.82%,       -0.17%,       NaN,        NaN,        -16.19%,       4.47%
$CRL,        02/23/2021,        I,        1.85%,       1.58%,       NaN,        NaN,        -1.31%,       1.0%
$EXPI,        02/23/2021,        L,        3.69%,       -1.2%,       NaN,        NaN,        -20.63%,       23.3%
$VRTX,        02/23/2021,        L,        0.28%,       -2.02%,       NaN,        NaN,        2.93%,       -8.9%
$AMBA,        02/22/2021,        L,        -3.43%,       -2.15%,       NaN,        NaN,        -2.25%,       7.54%
$AXP,        02/22/2021,        D,        0.73%,       2.03%,       NaN,        NaN,        4.88%,       7.78%
$AZEK,        02/22/2021,        L,        -0.98%,       -4.4%,       NaN,        NaN,        -0.4%,       12.71%
$BA,        02/22/2021,        D,        -0.36%,       5.41%,       NaN,        NaN,        0.9%,       3.42%
$BCC,        02/22/2021,        L,        -10.99%,       0.75%,       NaN,        NaN,        -0.17%,       -2.36%
$CAT,        02/22/2021,        D,        0.97%,       0.78%,       NaN,        NaN,        10.14%,       13.61%
$DG,        02/22/2021,        L,        -1.81%,       -2.95%,       NaN,        NaN,        0.09%,       -3.61%
$DIS,        02/22/2021,        D,        2.78%,       1.68%,       NaN,        NaN,        2.18%,       10.99%
$EL,        02/22/2021,        D,        2.26%,       2.98%,       NaN,        NaN,        -1.65%,       14.26%
$LLY,        02/22/2021,        I,        0.9%,       2.89%,       NaN,        NaN,        -3.19%,       -2.65%
$LUV,        02/22/2021,        D,        3.52%,       5.97%,       NaN,        NaN,        6.72%,       15.62%
$MA,        02/22/2021,        D,        2.87%,       6.53%,       NaN,        NaN,        -0.1%,       3.55%
$MAR,        02/22/2021,        D,        4.9%,       4.15%,       NaN,        NaN,        10.1%,       16.0%
$NUE,        02/22/2021,        D,        1.65%,       2.76%,       NaN,        NaN,        6.27%,       9.29%
$ON,        02/22/2021,        I,        -0.4%,       4.53%,       NaN,        NaN,        -2.01%,       8.42%
$PANW,        02/22/2021,        I,        -1.69%,       -4.41%,       NaN,        NaN,        -2.73%,       5.41%
$PENN,        02/22/2021,        D,        1.33%,       7.16%,       NaN,        NaN,        -0.84%,       7.69%
$RCL,        02/22/2021,        D,        4.43%,       5.94%,       NaN,        NaN,        27.5%,       19.83%
$SPG,        02/22/2021,        D,        2.08%,       1.02%,       NaN,        NaN,        3.21%,       18.1%
$TREX,        02/22/2021,        L,        -9.01%,       -6.31%,       NaN,        NaN,        -5.73%,       2.07%
$V,        02/22/2021,        D,        1.82%,       3.99%,       NaN,        NaN,        -0.78%,       3.12%
$WYNN,        02/22/2021,        D,        7.68%,       3.98%,       NaN,        NaN,        7.55%,       17.96%
$XPO,        02/22/2021,        L,        -0.92%,       2.67%,       NaN,        NaN,        -3.92%,       -0.5%
$ABBV,        02/12/2021,        L,        -0.23%,       0.55%,       NaN,        NaN,        -3.95%,       -7.12%
$AFRM,        02/12/2021,        L,        -5.35%,       -15.81%,       NaN,        NaN,        21.69%,       29.46%
$AMAT,        02/12/2021,        D,        1.41%,       2.37%,       NaN,        NaN,        15.88%,       19.02%
$AZEK,        02/12/2021,        I,        1.72%,       2.12%,       NaN,        NaN,        11.56%,       17.13%
$BA,        02/12/2021,        L,        2.94%,       3.08%,       NaN,        NaN,        1.47%,       1.82%
$CVS,        02/12/2021,        D,        -4.96%,       -5.11%,       NaN,        NaN,        2.81%,       -0.95%
$DD,        02/12/2021,        L,        -0.67%,       -2.35%,       NaN,        NaN,        -5.76%,       -14.4%
$DXCM,        02/12/2021,        I,        -1.98%,       1.55%,       NaN,        NaN,        0.37%,       13.79%
$EMR,        02/12/2021,        D,        -0.3%,       0.14%,       NaN,        NaN,        -0.91%,       3.26%
$FSLY,        02/12/2021,        D,        -4.47%,       -20.95%,       NaN,        NaN,        -9.8%,       12.66%
$GOLD,        02/12/2021,        D,        -2.03%,       -10.7%,       NaN,        NaN,        -0.81%,       -6.14%
$HON,        02/12/2021,        L,        -0.06%,       -0.0%,       NaN,        NaN,        0.32%,       -1.67%
$NVDA,        02/12/2021,        L,        2.47%,       -0.23%,       NaN,        NaN,        10.08%,       10.56%
$ROKU,        02/12/2021,        D,        0.22%,       -0.29%,       NaN,        NaN,        6.54%,       14.7%
$STPK,        02/12/2021,        I,        20.75%,       18.73%,       NaN,        NaN,        14.77%,       15.79%
$TTD,        02/12/2021,        D,        0.58%,       4.55%,       NaN,        NaN,        1.05%,       10.0%
$TWLO,        02/12/2021,        D,        -3.22%,       -2.24%,       NaN,        NaN,        8.81%,       17.96%
$WMT,        02/12/2021,        D,        0.82%,       -4.24%,       NaN,        NaN,        0.08%,       -2.02%
$ZM,        02/12/2021,        L,        2.63%,       -3.66%,       NaN,        NaN,        3.22%,       18.78%
$ZTS,        02/12/2021,        D,        -0.23%,       -4.02%,       NaN,        NaN,        4.66%,       2.94%
$AMAT,        02/11/2021,        D,        3.27%,       0.38%,       NaN,        NaN,        9.45%,       12.99%
$AQB,        02/11/2021,        L,        1.54%,       -12.84%,       NaN,        NaN,        -2.25%,       -5.15%
$BA,        02/11/2021,        D,        0.15%,       -1.03%,       NaN,        NaN,        0.01%,       1.08%
$BMBL,        02/11/2021,        F,        7.32%,       5.25%,       NaN,        NaN,        --%,       --%
$DIS,        02/11/2021,        D,        -1.7%,       -4.14%,       NaN,        NaN,        5.93%,       8.48%
$HRL,        02/11/2021,        I,        0.12%,       -1.43%,       NaN,        NaN,        -1.71%,       9.33%
$IDCC,        02/11/2021,        L,        -0.09%,       -6.14%,       NaN,        NaN,        3.33%,       4.6%
$KLAC,        02/11/2021,        D,        2.26%,       0.21%,       NaN,        NaN,        10.28%,       11.51%
$LRCX,        02/11/2021,        D,        2.44%,       0.97%,       NaN,        NaN,        10.14%,       6.67%
$MTCH,        02/11/2021,        F,        -1.51%,       -5.75%,       NaN,        NaN,        14.27%,       12.09%
$NCLH,        02/11/2021,        D,        -0.97%,       6.02%,       NaN,        NaN,        -2.58%,       -3.06%
$PYPL,        02/11/2021,        I,        4.68%,       2.03%,       NaN,        NaN,        5.4%,       19.94%
$SONO,        02/11/2021,        D,        -2.63%,       0.25%,       NaN,        NaN,        19.48%,       38.08%
$ST,        02/11/2021,        L,        3.79%,       3.59%,       NaN,        NaN,        4.57%,       -0.27%
$ZG,        02/11/2021,        D,        1.17%,       -6.7%,       NaN,        NaN,        27.89%,       31.79%
$JNPR,        02/10/2021,        I,        1.26%,       -4.87%,       -0.16%,       NaN,        4.56%,       6.85%
$MAT,        02/10/2021,        I,        -2.06%,       3.41%,       13.59%,       NaN,        -0.54%,       0.27%
$MGNI,        02/10/2021,        L,        7.22%,       -2.74%,       -14.63%,       NaN,        39.63%,       125.51%
$MITK,        02/10/2021,        L,        2.09%,       2.15%,       -5.96%,       NaN,        7.39%,       -5.02%
$SWKS,        02/10/2021,        L,        1.87%,       3.67%,       -7.01%,       NaN,        3.25%,       14.34%
$ASPN,        02/09/2021,        L,        2.85%,       -3.56%,       -9.81%,       NaN,        20.27%,       41.07%
$BILL,        02/09/2021,        I,        10.5%,       5.59%,       -10.61%,       NaN,        26.58%,       25.11%
$CHGG,        02/09/2021,        I,        2.62%,       9.43%,       -12.87%,       NaN,        3.91%,       5.92%
$CMI,        02/09/2021,        L,        0.05%,       -0.2%,       10.13%,       NaN,        4.74%,       4.55%
$SFIX,        02/09/2021,        L,        1.74%,       0.09%,       -39.6%,       NaN,        6.48%,       51.76%
$TTWO,        02/09/2021,        I,        -0.24%,       -2.26%,       -14.83%,       NaN,        -3.28%,       -4.81%
$AMD,        02/08/2021,        L,        -0.61%,       -0.01%,       -15.25%,       NaN,        4.35%,       -3.29%
$BA,        02/08/2021,        D,        1.5%,       2.47%,       15.75%,       NaN,        8.23%,       0.98%
$DIS,        02/08/2021,        D,        -0.94%,       -1.92%,       2.66%,       NaN,        11.13%,       6.33%
$DY,        02/08/2021,        L,        0.47%,       -5.43%,       -2.94%,       NaN,        5.43%,       7.99%
$LEN,        02/08/2021,        L,        -2.34%,       -7.27%,       -3.8%,       NaN,        13.07%,       29.75%
$LIN,        02/08/2021,        I,        -0.67%,       -2.8%,       3.23%,       NaN,        2.76%,       -4.83%
$MLM,        02/08/2021,        L,        1.66%,       8.22%,       13.28%,       NaN,        1.71%,       -3.07%
$PHM,        02/08/2021,        L,        -0.12%,       -5.26%,       -0.87%,       NaN,        10.03%,       18.61%
$SHW,        02/08/2021,        L,        -1.52%,       -2.29%,       -2.47%,       NaN,        3.71%,       -0.65%
$VERU,        02/08/2021,        I,        38.43%,       42.39%,       -2.01%,       NaN,        44.4%,       45.76%
$VMC,        02/08/2021,        L,        0.95%,       5.36%,       11.13%,       NaN,        1.43%,       -5.31%
$BC,        02/05/2021,        I,        2.52%,       2.2%,       6.79%,       NaN,        3.69%,       9.54%
$CGC,        02/05/2021,        D,        2.19%,       -6.1%,       -28.12%,       NaN,        7.14%,       42.29%
$CSCO,        02/05/2021,        D,        1.79%,       -1.64%,       -1.19%,       NaN,        7.85%,       8.29%
$DD,        02/05/2021,        D,        -0.11%,       -5.76%,       -0.84%,       NaN,        -4.54%,       -2.46%
$DIS,        02/05/2021,        D,        4.88%,       3.59%,       11.45%,       NaN,        7.72%,       1.14%
$EL,        02/05/2021,        I,        2.83%,       6.39%,       2.66%,       NaN,        15.28%,       5.6%
$GM,        02/05/2021,        D,        4.54%,       -1.49%,       1.05%,       NaN,        7.36%,       26.59%
$NCNO,        02/05/2021,        L,        3.66%,       4.8%,       -18.0%,       NaN,        6.56%,       14.41%
$NWL,        02/05/2021,        D,        1.65%,       -7.42%,       -3.56%,       NaN,        8.78%,       15.31%
$PEP,        02/05/2021,        D,        -0.4%,       -5.03%,       -6.26%,       NaN,        3.21%,       -1.38%
$PYPL,        02/05/2021,        D,        4.72%,       10.74%,       -16.09%,       NaN,        14.99%,       18.78%
$REGI,        02/05/2021,        L,        12.98%,       10.39%,       -24.49%,       NaN,        10.13%,       16.29%
$SNAP,        02/05/2021,        L,        0.22%,       -2.62%,       -16.89%,       NaN,        20.21%,       27.74%
$SNY,        02/05/2021,        I,        0.87%,       -1.33%,       -3.36%,       NaN,        2.12%,       0.42%
$TTWO,        02/05/2021,        D,        2.82%,       -3.68%,       -22.11%,       NaN,        3.51%,       2.96%
$TWTR,        02/05/2021,        D,        2.5%,       26.63%,       11.8%,       NaN,        12.37%,       6.61%
$AAPL,        02/04/2021,        D,        -0.46%,       -1.64%,       -15.31%,       NaN,        0.22%,       4.87%
$CLX,        02/04/2021,        I,        -0.21%,       -3.92%,       -2.03%,       NaN,        -8.55%,       -4.18%
$CNC,        02/04/2021,        L,        -2.52%,       -0.71%,       2.19%,       NaN,        -0.61%,       -1.1%
$COST,        02/04/2021,        D,        -0.19%,       -1.03%,       -12.49%,       NaN,        -0.34%,       -5.29%
$DDD,        02/04/2021,        L,        8.0%,       12.48%,       -48.49%,       NaN,        16.87%,       307.71%
$DIS,        02/04/2021,        D,        0.52%,       5.93%,       12.03%,       NaN,        4.86%,       1.0%
$HD,        02/04/2021,        D,        0.01%,       -0.63%,       -7.1%,       NaN,        0.28%,       4.8%
$HON,        02/04/2021,        D,        1.16%,       0.79%,       3.54%,       NaN,        -1.11%,       -3.78%
$MSFT,        02/04/2021,        D,        0.08%,       1.02%,       -6.04%,       NaN,        1.29%,       11.06%
$NKE,        02/04/2021,        D,        3.19%,       2.07%,       -4.32%,       NaN,        4.39%,       -0.42%
$PLUG,        02/04/2021,        F,        -2.81%,       -5.44%,       -43.68%,       NaN,        3.66%,       107.9%
$PYPL,        02/04/2021,        D,        -0.37%,       5.4%,       -16.4%,       NaN,        13.73%,       15.12%
$ROK,        02/04/2021,        I,        0.67%,       2.32%,       6.88%,       NaN,        -3.95%,       -2.35%
$TSLA,        02/04/2021,        F,        0.26%,       -4.51%,       -33.76%,       NaN,        1.74%,       15.63%
$UPWK,        02/04/2021,        L,        4.54%,       15.2%,       -14.55%,       NaN,        15.85%,       42.42%
$WMT,        02/04/2021,        D,        1.28%,       1.05%,       -10.28%,       NaN,        -0.85%,       -2.21%
$AAPL,        02/03/2021,        D,        2.58%,       1.08%,       -9.35%,       NaN,        -5.72%,       3.5%
$EBAY,        02/03/2021,        L,        5.31%,       7.37%,       -7.37%,       NaN,        -0.53%,       12.7%
$ELF,        02/03/2021,        I,        0.78%,       0.52%,       12.38%,       NaN,        5.18%,       -8.61%
$FB,        02/03/2021,        D,        -0.06%,       1.96%,       -0.89%,       NaN,        -2.02%,       -0.85%
$FUTU,        02/03/2021,        L,        -3.0%,       39.29%,       18.36%,       NaN,        23.24%,       142.4%
$HOLX,        02/03/2021,        I,        1.7%,       -3.3%,       -12.11%,       NaN,        13.53%,       12.58%
$MSFT,        02/03/2021,        D,        -0.41%,       -0.07%,       -4.69%,       NaN,        4.34%,       11.63%
$SWKS,        02/03/2021,        I,        -0.2%,       3.25%,       -3.35%,       NaN,        15.15%,       19.07%
$VZ,        02/03/2021,        L,        0.64%,       0.31%,       2.21%,       NaN,        -0.62%,       -6.9%
$AEP,        02/02/2021,        L,        -1.01%,       -2.76%,       -5.92%,       NaN,        0.35%,       -1.39%
$BA,        02/02/2021,        D,        3.21%,       7.06%,       11.83%,       NaN,        -0.55%,       -6.13%
$BABA,        02/02/2021,        L,        3.51%,       4.71%,       -9.43%,       NaN,        -4.29%,       9.35%
$DIS,        02/02/2021,        D,        -0.3%,       6.36%,       6.26%,       NaN,        4.36%,       -2.33%
$ED,        02/02/2021,        L,        0.36%,       1.55%,       -4.7%,       NaN,        -0.03%,       -2.78%
$NSC,        02/02/2021,        I,        -0.04%,       -0.22%,       -0.67%,       NaN,        3.47%,       3.68%
$UPS,        02/02/2021,        I,        -0.36%,       4.14%,       -0.52%,       NaN,        -0.71%,       -4.82%
$AAPL,        02/01/2021,        D,        0.63%,       2.07%,       -9.01%,       NaN,        -6.14%,       1.09%
$AMAT,        02/01/2021,        D,        2.35%,       4.92%,       14.06%,       NaN,        -6.39%,       17.28%
$AMSC,        02/01/2021,        L,        4.11%,       7.4%,       -9.6%,       NaN,        -9.37%,       9.01%
$BA,        02/01/2021,        D,        2.6%,       8.23%,       16.71%,       NaN,        -3.7%,       -8.51%
$DIS,        02/01/2021,        D,        3.5%,       11.13%,       12.45%,       NaN,        -0.54%,       -5.64%
$DKS,        02/01/2021,        I,        2.02%,       12.92%,       5.43%,       NaN,        0.1%,       22.17%
$LEN,        02/01/2021,        D,        1.0%,       13.07%,       -4.07%,       NaN,        -2.84%,       10.47%
$LRCX,        02/01/2021,        D,        2.92%,       6.25%,       9.93%,       NaN,        -11.68%,       6.18%
$OPEN,        02/01/2021,        L,        8.46%,       4.0%,       9.9%,       NaN,        -3.95%,       15.49%
$OTIS,        02/01/2021,        I,        0.14%,       -1.27%,       3.8%,       NaN,        0.51%,       -4.44%
$PLUG,        02/01/2021,        L,        0.63%,       3.66%,       -31.39%,       NaN,        -2.85%,       88.29%
$SBUX,        02/01/2021,        D,        3.11%,       7.79%,       7.75%,       NaN,        -4.71%,       -7.85%
$SWKS,        02/01/2021,        D,        -0.16%,       -2.27%,       -5.69%,       NaN,        12.14%,       21.53%
$TGT,        02/01/2021,        D,        1.1%,       5.65%,       -5.43%,       NaN,        -3.46%,       3.99%
$TMO,        02/01/2021,        I,        0.59%,       -3.82%,       -12.51%,       NaN,        -0.65%,       10.67%
$TSLA,        02/01/2021,        D,        3.93%,       2.81%,       -22.22%,       NaN,        -4.65%,       19.01%
$TSM,        02/01/2021,        D,        1.41%,       4.65%,       -2.98%,       NaN,        -2.96%,       16.16%
$Z,        02/01/2021,        L,        5.7%,       19.13%,       8.84%,       NaN,        -6.68%,       5.59%
$ZM,        02/01/2021,        D,        2.59%,       7.56%,       -10.57%,       NaN,        -2.53%,       13.22%
$BOOT,        01/25/2021,        I,        -4.0%,       -3.78%,       9.53%,       NaN,        4.98%,       47.78%
$CLII,        01/25/2021,        F,        12.2%,       6.61%,       -16.62%,       NaN,        56.73%,       79.98%
$HD,        01/25/2021,        D,        -0.87%,       -5.27%,       -8.81%,       NaN,        3.44%,       5.23%
$KMB,        01/25/2021,        D,        0.45%,       -2.4%,       -4.18%,       NaN,        3.98%,       1.96%
$NFLX,        01/25/2021,        D,        0.92%,       -3.19%,       -0.61%,       NaN,        11.81%,       8.33%
$SBE,        01/25/2021,        F,        6.7%,       -0.31%,       -10.83%,       NaN,        -6.64%,       -16.1%
$SWK,        01/25/2021,        D,        0.93%,       -0.41%,       -0.01%,       NaN,        1.37%,       -2.74%
$TPGY,        01/25/2021,        F,        20.84%,       7.65%,       -9.18%,       NaN,        -1.83%,       -19.45%
$ZM,        01/25/2021,        D,        -4.45%,       -2.53%,       -1.68%,       NaN,        1.9%,       4.44%
$AAPL,        01/22/2021,        D,        2.77%,       -5.11%,       -9.4%,       NaN,        9.38%,       6.19%
$AMD,        01/22/2021,        D,        1.44%,       -7.71%,       -8.0%,       NaN,        5.19%,       1.35%
$CVX,        01/22/2021,        D,        -0.9%,       -7.12%,       7.26%,       NaN,        -0.39%,       7.05%
$FB,        01/22/2021,        D,        1.28%,       -5.89%,       -5.16%,       NaN,        9.21%,       2.38%
$FHN,        01/22/2021,        I,        -0.82%,       -4.6%,       14.01%,       NaN,        -3.13%,       14.29%
$GM,        01/22/2021,        D,        -3.63%,       -8.52%,       -6.17%,       NaN,        10.87%,       30.51%
$HON,        01/22/2021,        D,        -0.19%,       -3.4%,       0.68%,       NaN,        -1.81%,       -3.69%
$JNJ,        01/22/2021,        D,        1.49%,       -0.26%,       -1.03%,       NaN,        2.03%,       7.64%
$LLY,        01/22/2021,        D,        3.01%,       0.89%,       -2.65%,       NaN,        8.06%,       24.57%
